,score_risk,gender,age,income_home_grp,income_ind_grp,expenditure_grp,no_child,job_기능/노무직,job_무직/기타,job_사무직,job_전업주부,job_판매/서비스직,job_학생(재수생포함),job_행정관리/전문직,edu_고등학교 재학,edu_고등학교 졸업,edu_대학교 재학,edu_대학교 졸업,edu_대학원 졸업,edu_전문대학 재학,edu_전문대학 졸업,edu_중학교 졸업,edu_초등학교 졸업,dwell_type_사택/기타,dwell_type_영구임대,dwell_type_월세,dwell_type_자가,dwell_type_전세,house_type_기타,house_type_단독주택,house_type_상가주택,house_type_아파트,house_type_연립/다세대/빌라,house_type_오피스텔,marriage_기타(이혼/별거/사별),marriage_기혼,marriage_미혼,child_cd_N,child_cd_Y,flag_priv_biz_cd_N,flag_priv_biz_cd_Y
19,488,1,40,550,350,150,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
21,481,1,53,850,550,50,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
22,491,0,50,650,250,250,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
27,338,0,38,650,250,150,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
28,451,0,52,550,250,50,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
29,288,1,43,550,350,150,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
30,501,1,51,650,450,250,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
31,358,0,46,550,250,50,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
33,554,0,69,150,150,50,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
34,388,0,42,550,550,150,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
35,454,1,64,450,450,50,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
36,458,1,35,450,250,50,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
37,331,0,59,750,250,150,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
41,575,0,28,250,250,150,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
42,375,1,28,650,250,50,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
43,328,1,31,650,250,50,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
